거래일자,거래시각,계좌ID,거래유형,금액,단위,가맹점,지역,채널,잔액,연령,연체여부
2025-06-20,19:36:46,AC101305,이체,37046,원,배달의민족,경남,ATM,762460.0,26,N
2025-05-19,12:31:43,AC101149,이자,1088,원,스타벅스,경북,모바일,159425.0,33,N
2025-06-29,06:51:42,AC101715,카드결제,16086,원,CU편의점,전남,전화,377349.0,28,N
2025-10-01,09:30:39,AC101357,수수료,23990,원,롯데마트,부산,모바일,96304.0,20,N
2025-07-05,18:07:43,AC101562,이체,251096,원,배달의민족,강원,ATM,635448.0,24,N
2025-07-29,17:37:05,AC101025,이자,177387,원,CGV,광주,전화,303214.0,24,N
2025-12-25,17:51:34,AC101943,입금,54403,원,무신사,강원,모바일,138285.0,30,N
2025-09-17,11:51:29,AC101079,입금,1760,원,롯데마트,경기도,영업점,107963.0,30,N
2025-09-13,12:23:02,AC100340,카드결제,20175,원,,경남,영업점,109699.0,27,N
2025-08-06,19:46:53,AC101689,출금,147387,원,SK주유소,전남,모바일,229968.0,21,N
2025-08-16,12:26:07,AC100446,수수료,10615,원,CGV,경기,모바일,20331.0,29,N
2025-12-31,17:23:04,AC101960,이자,39600,원,롯데마트,경남,영업점,36816.0,26,N
2025-05-21,19:16:47,AC100240,출금,22627,원,한국전력,,ATM,,49,N
2025-07-01,19:46:13,AC100987,카드결제,11674,원,메가커피,경북,전화,59331.0,41,N
2025-06-10,02:12:23,AC101710,공과금,85824,원,올리브영,서울,인터넷뱅킹,41805.0,27,N
2025-03-27,20:16:54,AC102084,공과금,39170,원,,인천,영업점,1292351.0,31,N
2025-12-16,12:52:52,AC101708,이자,58541,원,,부산,ATM,112760.0,22,N
2025-09-22,21:35:42,AC102175,입금,19027,원,한국전력,강원,ATM,326444.0,25,N
2025-05-12,21:05:03,AC100712,출금,39797,원,,경북,인터넷뱅킹,420921.0,35,Y
2025-04-24,11:43:08,AC100774,이체,231580,원,무신사,경북,ATM,65621.0,33,N
2025-05-22,13:20:55,AC100641,대출상환,86721,원,올리브영,전남,전화,168542.0,39,N
2025-09-10,18:29:18,AC101641,출금,4400,원,스타벅스,,ATM,,24,N
2025-12-31,11:35:38,AC100532,이자,34489,원,GS25편의점,busan,ATM,305071.0,32,N
2025-04-08,17:00:54,AC100589,수수료,53504,원,SK주유소,,모바일,,39,N
2025-04-24,02:13:37,AC100270,공과금,16576,원,파리바게뜨,서울,전화,172726.0,26,N
2025-10-14,11:38:06,AC100188,입금,34048,원,한국전력,울산,인터넷뱅킹,34089.0,37,N
2025-07-01,21:59:55,AC101399,공과금,29486,원,파리바게뜨,대전,모바일,538016.0,27,N
2025-06-19,09:26:44,AC100125,공과금,155579,원,넷플릭스,,영업점,,28,Y
2025-06-11,13:15:32,AC100034,공과금,78874,원,KT통신,부산,영업점,80095.0,23,N
2025-06-06,17:21:54,AC102186,이자,20800,원,GS25편의점,경남,전화,37908.0,27,N
2025-06-18,21:31:53,AC102024,이자,49241,원,SK주유소,전남,ATM,310200.0,49,N
2025-09-30,11:51:06,AC101801,이자,236252,원,다이소,전북,영업점,29373.0,25,N
2025-07-31,15:51:31,AC100637,카드결제,28700,원,CU편의점,강원,모바일,290280.0,28,N
2025-05-05,19:16:43,AC101257,카드결제,5451,원,무신사,광주,ATM,98816.0,24,N
2025-04-03,19:26:32,AC100833,출금,11234,원,SK주유소,전북,전화,1520166.0,32,N
2025-05-25,21:58:27,AC101374,출금,369874,원,KT통신,충북,인터넷뱅킹,442313.0,28,Y
2025-07-27,09:03:55,AC101284,수수료,9290,원,다이소,대구,인터넷뱅킹,447113.0,25,N
2025-05-29,23:55:08,AC101585,이체,22776,원,SK주유소,제주,인터넷뱅킹,98844.0,29,N
2025-07-13,12:10:00,AC101860,이체,40818,원,,세종,인터넷뱅킹,53226.0,29,N
2025-06-04,12:47:26,AC101225,이체,88241,원,이마트,대전,모바일,1067948.0,27,N
2025-10-05,17:40:34,AC101972,공과금,13879,원,SK주유소,충북,영업점,91266.0,25,N
2025-08-10,12:41:44,AC100337,수수료,39001,원,이마트,경남,모바일,,33,N
2025-09-22,20:51:26,AC101441,대출상환,97100,원,메가커피,서울,ATM,111466.0,36,N
2025-10-14,20:28:58,AC100518,수수료,9146,원,스타벅스,대전,인터넷뱅킹,300048.0,39,N
2025-07-09,19:29:38,AC101161,이체,8274,원,,경남,영업점,44856.0,48,N
2025-07-27,11:09:29,AC100772,출금,34069,원,이마트,부산,ATM,127576.0,28,N
2025-05-21,17:33:44,AC101219,출금,19757,원,SK주유소,세종,ATM,487111.0,27,N
2025-10-17,08:06:02,AC102090,수수료,109674,원,파리바게뜨,충북,ATM,870534.0,25,N
2025-04-11,12:26:29,AC102093,출금,11500,원,파리바게뜨,경북,모바일,,26,N
2025-04-24,09:47:58,AC100437,입금,28449,원,배달의민족,대구,전화,67476.0,28,N
2025-08-21,09:13:00,AC101501,공과금,157150,원,,대전,ATM,37478.0,24,N
2025-05-22,16:53:08,AC101392,입금,7313,원,올리브영,대전,ATM,154305.0,33,N
2025-01-18,07:36:26,AC101652,이자,24382,원,무신사,대구,모바일,188749.0,29,N
2025-07-24,09:21:07,AC101718,카드결제,14546,원,GS25편의점,전북,ATM,250794.0,33,N
2025-10-08,19:11:07,AC100480,입금,175600,원,SK주유소,전북,모바일,,39,Y
2025-09-01,12:08:57,AC100775,수수료,22352,원,,경북,영업점,400340.0,24,N
2025-04-03,18:13:33,AC100237,공과금,16000,원,다이소,세종,영업점,98036.0,26,N
2025-05-11,20:26:42,AC102134,수수료,33565,원,파리바게뜨,서울,인터넷뱅킹,163001.0,36,N
2025-07-31,11:34:43,AC100669,수수료,322893,원,SK주유소,인천,모바일,1355690.0,30,N
2025-06-03,20:47:00,AC100224,공과금,242700,원,이마트,세종,ATM,56564.0,35,N
2025-06-06,18:28:49,AC100123,대출상환,101515,원,올리브영,충북,ATM,178936.0,26,Y
2025-06-20,19:09:28,AC100052,이체,12400,원,,강원,ATM,1212909.0,34,N
2025-04-11,12:10:36,AC101499,이자,84026,원,스타벅스,경북,인터넷뱅킹,592077.0,39,N
2025-11-29,09:52:22,AC100815,공과금,175998,원,쿠팡,,전화,,39,N
2025-08-08,17:30:49,AC102089,출금,22688,원,쿠팡,경남,인터넷뱅킹,275147.0,39,N
2025-08-21,11:19:05,AC100704,입금,16502,원,SK주유소,경북,전화,127144.0,32,N
2025-10-07,13:51:57,AC101340,대출상환,43980,원,,울산,ATM,173070.0,35,N
2025-10-20,21:01:32,AC102150,입금,53660,원,,세종,인터넷뱅킹,242527.0,28,N
2025-04-23,06:53:35,AC101168,이체,25595,원,KT통신,경남,인터넷뱅킹,168919.0,27,N
2025-01-01,19:20:01,AC101365,출금,243322,원,,대구,인터넷뱅킹,76148.0,33,N
2025-07-03,18:28:24,AC100448,이체,66431,원,KT통신,울산,ATM,278736.0,32,N
2025-06-12,17:06:49,AC100842,이체,33952,원,요기요,인천,ATM,70582.0,22,N
2025-12-31,12:12:07,AC101519,수수료,8247,원,SK주유소,경북,ATM,136648.0,34,N
2025-07-23,16:08:23,AC100132,출금,20508,원,,인천,영업점,306466.0,28,N
2025-07-23,13:27:41,AC101243,출금,14648,원,,울산,영업점,227436.0,34,N
2025-07-25,18:21:49,AC100655,대출상환,31989,원,요기요,,ATM,,34,N
2025-02-19,11:29:28,AC102198,카드결제,83587,원,다이소,전남,전화,21837.0,32,N
2025-07-22,23:19:52,AC100485,이자,189329,원,CU편의점,충남,인터넷뱅킹,160948.0,25,N
2025-10-14,12:18:40,AC101226,카드결제,4300,원,스타벅스,제주,전화,745759.0,27,N
2025-03-26,11:15:42,AC101423,카드결제,18875,원,현대백화점,경북,인터넷뱅킹,119720.0,26,N
2025-07-10,09:24:55,AC100513,수수료,31884,원,이마트,충북,영업점,228433.0,38,N
2025-05-17,16:25:28,AC100553,이자,35590,원,CU편의점,경북,인터넷뱅킹,137866.0,27,N
2025-03-19,12:48:36,AC100290,공과금,38349,원,CGV,강원,인터넷뱅킹,219067.0,27,N
2025-05-28,04:45:17,AC101539,대출상환,32257,원,,경북,영업점,349790.0,36,N
2025-05-28,18:49:38,AC100878,대출상환,74102,원,CGV,제주,인터넷뱅킹,492652.0,35,N
2025-12-31,20:52:50,AC100770,공과금,6022,원,파리바게뜨,울산,모바일,416292.0,29,N
2025-08-20,12:03:44,AC101274,이체,119964,원,요기요,전남,영업점,78070.0,34,N
2025-07-30,12:40:15,AC101392,대출상환,25422,원,현대백화점,경기도,모바일,97620.0,33,N
2025-07-31,12:09:49,AC100091,입금,176799,원,SK주유소,강원,모바일,110234.0,29,N
2025-08-04,05:24:09,AC100266,수수료,8364,원,KT통신,충북,모바일,93672.0,20,N
2025-04-23,13:10:29,AC100126,수수료,14001,원,,대구,모바일,87135.0,28,N
2025-05-13,12:54:13,AC101983,대출상환,9022,원,이마트,경기,모바일,1080803.0,32,N
2025-08-08,09:21:36,AC101350,출금,52710,원,CGV,대구,전화,38731.0,31,N
2025-09-23,17:27:04,AC101645,입금,41237,원,쿠팡,대전,모바일,143763.0,27,N
2025-07-24,19:34:13,AC101562,수수료,37830,원,요기요,전남,인터넷뱅킹,160822.0,24,N
2025-08-22,22:55:53,AC101094,대출상환,6355,원,올리브영,충남,ATM,205498.0,22,N
2025-07-08,03:29:14,AC100649,공과금,48829,원,배달의민족,경기,ATM,818264.0,32,N
2025-10-12,13:54:37,AC101558,공과금,17329,원,이마트,,모바일,,30,N
2025-08-01,09:59:18,AC101287,대출상환,9631,원,무신사,전남,모바일,84775.0,49,N
2025-09-12,16:34:15,AC100648,대출상환,12100,원,,,영업점,,30,N
2025-06-09,12:54:05,AC102080,출금,13231,원,KT통신,제주,영업점,13466.0,25,N
2025-06-27,13:41:34,AC100287,공과금,8189,원,이마트,부산,영업점,82741.0,26,N
2025-08-11,09:51:14,AC100118,공과금,59120,원,메가커피,세종,모바일,184474.0,29,N
2025-04-11,09:41:42,AC100193,대출상환,146091,원,다이소,경남,영업점,71022.0,33,N
2025-08-13,21:01:46,AC100069,카드결제,26283,원,넷플릭스,전남,영업점,170843.0,33,N
2025-02-14,12:15:52,AC101415,이체,150747,원,쿠팡,인천,영업점,364901.0,28,N
2025-05-10,18:25:39,AC101010,카드결제,117139,원,스타벅스,전남,인터넷뱅킹,44371.0,21,N
2025-05-22,02:27:08,AC101363,출금,16059,원,무신사,대구,전화,55593.0,24,N
2025-06-07,17:43:05,AC101388,입금,10188,원,요기요,전북,모바일,565910.0,47,N
2025-09-07,15:03:18,AC100368,카드결제,45642,원,넷플릭스,강원,영업점,121902.0,28,N
2025-11-30,10:43:44,AC100175,이체,12873,원,이마트,대구,모바일,284375.0,23,N
2025-03-02,17:13:37,AC100794,대출상환,12815,원,파리바게뜨,경기,인터넷뱅킹,147859.0,29,N
2025-09-11,11:49:16,AC101599,입금,195861,원,롯데마트,전남,영업점,81624.0,27,N
2025-01-01,13:42:14,AC100448,출금,67281,원,교보문고,,영업점,,32,N
2025-08-20,12:54:34,AC100722,이체,42476,원,,충북,전화,17245.0,32,N
2025-08-29,21:48:30,AC100333,입금,13800,원,다이소,서울,전화,30046.0,29,N
2025-07-09,17:58:29,AC100134,공과금,23300,원,현대백화점,,영업점,,27,N
2025-09-17,19:34:52,AC101712,입금,661820,원,KT통신,,전화,,26,N
2025-03-25,12:05:08,AC101931,수수료,197866,원,,경북,모바일,13723.0,25,N
2025-04-08,21:57:46,AC100791,공과금,10714,원,,인천,ATM,,48,N
2025-05-30,12:31:19,AC100667,출금,19700,원,,충남,ATM,420545.0,35,N
2025-12-24,11:07:33,AC100759,카드결제,52270,원,교보문고,대전,영업점,71747.0,33,N
2025-10-23,12:46:36,AC100480,입금,45819,원,현대백화점,경북,영업점,77331.0,39,Y
2025-09-03,05:13:43,AC100922,이체,6455,원,현대백화점,충남,ATM,35993.0,38,N
2025-08-20,20:53:40,AC101161,이자,65184,원,넷플릭스,강원,ATM,930902.0,48,N
2025-05-24,12:01:01,AC100541,입금,9108,원,,전남,전화,269442.0,24,N
2025-08-18,20:51:29,AC102171,카드결제,19141,원,쿠팡,충남,인터넷뱅킹,151618.0,26,N
2025-05-10,11:49:17,AC100959,이자,15457,원,올리브영,울산,영업점,1441278.0,36,N
2025-05-13,20:23:09,AC101018,공과금,4448,원,CGV,대구,ATM,493566.0,27,N
2025-12-25,22:54:40,AC100878,이체,30382,원,,울산,인터넷뱅킹,115179.0,35,N
2025-03-19,17:37:06,AC101132,이체,14546,원,SK주유소,부산,ATM,711766.0,34,N
2025-07-29,11:12:18,AC102157,출금,18380,원,,서울,인터넷뱅킹,54343.0,35,N
2025-08-04,19:21:06,AC101885,이자,9140,원,CGV,부산,인터넷뱅킹,,35,N
2025-12-22,21:21:00,AC101146,카드결제,214761,원,배달의민족,인천,인터넷뱅킹,270218.0,45,N
2025-04-04,20:03:53,AC101195,입금,30454,원,,경북,모바일,44025.0,28,N
2025-05-25,23:23:32,AC102005,입금,179146,원,한국전력,울산,모바일,408075.0,30,N
2025-04-09,21:29:06,AC101079,대출상환,6910,원,CGV,전남,인터넷뱅킹,712984.0,30,N
2025-01-01,12:55:36,AC102198,대출상환,21028,원,이마트,대구,전화,384989.0,32,N
2025-06-05,11:30:47,AC100019,출금,29156,원,다이소,제주,영업점,324625.0,27,N
2025-05-28,12:41:22,AC100135,이체,85380,원,한국전력,대구,ATM,48954.0,32,N
2025-08-30,13:28:44,AC100327,출금,27863,원,스타벅스,울산,인터넷뱅킹,347829.0,30,N
2025-07-28,17:14:15,AC101906,출금,125277,원,무신사,경북,ATM,38031.0,31,N
2025-09-25,12:06:46,AC100410,이자,36310,원,넷플릭스,제주,모바일,220504.0,32,N
2025-10-02,09:29:18,AC100406,입금,45456,원,롯데마트,전북,전화,62756.0,35,N
2025-10-08,04:37:34,AC100058,입금,243013,원,쿠팡,울산,인터넷뱅킹,216315.0,37,N
2025-02-21,07:42:24,AC101069,공과금,3938,원,,울산,전화,156958.0,27,N
2025-09-03,17:09:08,AC100773,출금,29231,원,CGV,대구,전화,24311.0,33,N
2025-01-01,12:10:41,AC100363,입금,303190,원,이마트,충북,모바일,119061.0,39,N
2025-07-12,12:38:04,AC102088,이자,89207,원,올리브영,울산,ATM,100732.0,21,N
2025-06-03,12:06:53,AC100928,입금,4641,원,올리브영,울산,인터넷뱅킹,385485.0,20,N
2025-08-30,02:04:00,AC101655,카드결제,77764,원,메가커피,대구,영업점,62880.0,33,N
2025-04-10,12:59:32,AC101172,카드결제,22121,원,이마트,전북,영업점,176926.0,33,N
2025-02-19,12:22:47,AC100026,출금,137129,원,요기요,세종,인터넷뱅킹,118149.0,21,Y
2025-01-01,07:12:00,AC101851,출금,46263,원,롯데마트,대구,모바일,175560.0,29,Y
2025-08-25,23:05:30,AC101043,카드결제,103753,원,SK주유소,강원,전화,309427.0,49,N
2025-05-21,20:17:08,AC101973,출금,15649,원,올리브영,제주,모바일,84645.0,28,N
2025-04-15,13:08:16,AC100011,출금,19695,원,CGV,충남,ATM,186138.0,42,N
2025-10-15,11:11:29,AC101582,수수료,51148,원,롯데마트,경남,전화,114224.0,33,N
2025-07-14,09:41:21,AC101355,수수료,3034,원,메가커피,경북,모바일,68936.0,23,N
2025-07-23,13:47:05,AC102065,카드결제,3400,원,배달의민족,세종,모바일,21792.0,33,N
2025-09-22,12:29:43,AC100132,이자,56744,원,올리브영,전북,모바일,189296.0,28,N
2025-03-19,11:02:16,AC100813,입금,11373,원,,부산,인터넷뱅킹,60200.0,30,N
2025-12-24,12:06:12,AC100953,공과금,41561,원,메가커피,부산,인터넷뱅킹,237674.0,30,N
2025-04-20,17:25:06,AC101620,출금,114076,원,SK주유소,대전,ATM,36944.0,28,N
2025-10-04,04:13:45,AC101064,대출상환,52247,원,,광주,모바일,188219.0,28,N
2025-03-01,13:31:37,AC102148,출금,10724,원,메가커피,경남,영업점,257652.0,22,N
2025-09-26,17:39:16,AC100706,대출상환,141318,원,파리바게뜨,부산,모바일,16408.0,27,N
2025-12-23,18:14:17,AC101722,수수료,2700,원,,울산,인터넷뱅킹,188928.0,35,N
2025-01-24,09:21:55,AC102045,대출상환,6627,원,,경북,ATM,263774.0,25,N
2025-06-21,09:44:14,AC100760,출금,93662,원,,대전,인터넷뱅킹,122901.0,35,N
2025-08-22,18:24:14,AC100168,출금,78397,원,다이소,인천,인터넷뱅킹,109636.0,39,N
2025-07-27,20:56:41,AC100891,입금,235500,원,GS25편의점,경기,모바일,931571.0,34,N
2025-12-31,10:14:18,AC101305,입금,88547,원,,충남,모바일,181244.0,26,N
2025-06-07,19:44:39,AC100698,입금,13955,원,,울산,전화,87442.0,37,N
2025-09-06,09:58:38,AC102097,출금,35557,원,GS25편의점,전북,영업점,83899.0,31,N
2025-03-13,12:25:00,AC100487,입금,9323,원,무신사,부산,모바일,174425.0,28,N
2025-11-07,17:21:42,AC101004,이체,176790,원,,,전화,,29,N
2025-09-21,07:49:51,AC102173,이자,27043,원,,서울,모바일,10150.0,30,N
2025-07-28,21:57:06,AC101986,카드결제,18409,원,쿠팡,충북,전화,48110.0,29,N
2025-08-02,21:19:19,AC100313,입금,9551,원,KT통신,대구,전화,689796.0,25,N
2025-09-20,17:33:54,AC102129,공과금,71983,원,GS25편의점,충남,모바일,111004.0,28,N
2025-07-01,20:16:01,AC101936,이체,46265,원,롯데마트,부산,ATM,301947.0,44,N
2025-05-18,11:10:04,AC101093,공과금,14027,원,현대백화점,광주,ATM,217136.0,21,N
2025-04-26,12:59:33,AC100494,공과금,2146,원,롯데마트,대전,전화,104794.0,34,N
2025-05-12,18:45:48,AC101466,출금,49854,원,메가커피,부산,전화,112158.0,35,N
2025-02-20,18:55:05,AC100759,입금,12925,원,,서울,인터넷뱅킹,196933.0,33,N
2025-06-20,11:55:39,AC100986,이체,11404,원,파리바게뜨,경북,인터넷뱅킹,847456.0,28,N
2025-11-09,21:14:05,AC101267,공과금,16489,원,쿠팡,부산,전화,56648.0,32,N
2025-08-17,21:00:31,AC100743,출금,7695,원,쿠팡,충남,영업점,33104.0,25,N
2025-10-09,13:49:57,AC100882,카드결제,391166,원,올리브영,세종,모바일,172496.0,31,N
2025-01-01,18:15:15,AC101798,이자,21910,원,이마트,전북,모바일,81407.0,31,N
2025-06-22,13:50:11,AC101834,대출상환,18180,원,쿠팡,충북,전화,283465.0,26,N
2025-10-15,01:16:31,AC102094,이자,43622,원,,충남,ATM,97333.0,30,N
2025-04-23,21:57:30,AC101104,카드결제,23411,원,메가커피,전남,모바일,,29,N
2025-08-01,20:56:33,AC102053,이자,46473,원,,대구,영업점,72574.0,26,N
2025-04-15,19:58:25,AC100178,입금,19709,원,넷플릭스,경북,인터넷뱅킹,227699.0,34,N
2025-06-08,21:39:15,AC101720,카드결제,31600,원,KT통신,경남,인터넷뱅킹,817432.0,30,N
2025-08-22,12:28:15,AC101595,공과금,8390,원,쿠팡,부산,모바일,409092.0,35,N
2025-03-08,13:45:09,AC100768,이자,47197,원,,인천,전화,124887.0,32,N
2025-12-31,09:43:29,AC100763,출금,87630,원,SK주유소,부산,전화,101027.0,30,N
2025-12-31,14:56:34,AC100096,대출상환,53934,원,CGV,제주,인터넷뱅킹,106631.0,31,N
2025-09-19,18:06:19,AC100809,출금,78668,원,현대백화점,충북,전화,231910.0,26,N
2025-06-13,20:06:38,AC100506,출금,13452,원,배달의민족,전북,인터넷뱅킹,359453.0,29,N
2025-11-06,09:37:38,AC101232,카드결제,42762,원,,경남,인터넷뱅킹,77303.0,37,N
2025-12-31,08:29:06,AC101033,이체,91826,원,쿠팡,광주,영업점,46442.0,33,N
2025-07-25,21:07:49,AC100415,입금,107084,원,CGV,경북,인터넷뱅킹,112820.0,25,N
2025-12-31,13:13:03,AC101690,카드결제,45346,원,배달의민족,울산,전화,196866.0,34,N
2025-08-05,10:21:13,AC101349,공과금,13570,원,SK주유소,경북,전화,404447.0,34,N
2025-03-14,09:00:14,AC100452,이자,60027,원,메가커피,서울,전화,119564.0,27,N
2025-09-20,17:39:06,AC100158,카드결제,31600,원,이마트,강원,영업점,518230.0,23,N
2025-03-22,02:32:37,AC102154,공과금,19702,원,CGV,전북,영업점,139462.0,34,N
2025-05-21,12:14:42,AC101714,대출상환,21565,원,SK주유소,강원,전화,15068.0,26,N
2025-04-21,20:36:59,AC100254,이체,41885,원,한국전력,제주,전화,49999.0,26,N
2025-05-02,21:04:49,AC101385,카드결제,43866,원,올리브영,제주,ATM,32435.0,28,N
2025-03-27,23:04:20,AC100066,이체,9971,원,,전남,전화,,33,N
2025-04-18,20:44:27,AC101601,카드결제,30362,원,넷플릭스,충남,영업점,250309.0,33,Y
2025-12-14,12:41:26,AC100345,대출상환,37865,원,,경남,영업점,82708.0,39,N
2025-02-04,09:15:59,AC100350,출금,12749,원,파리바게뜨,대구,전화,41492.0,32,N
2025-08-09,18:54:37,AC101403,공과금,12140,원,쿠팡,부산,전화,136594.0,25,N
2025-08-22,18:07:45,AC101233,출금,78222,원,GS25편의점,경남,ATM,122403.0,35,N
2025-11-09,19:19:01,AC101387,입금,78278,원,메가커피,대전,영업점,19296.0,33,N
2025-06-26,18:02:36,AC102047,이자,43233,원,무신사,대전,영업점,290588.0,21,N
2025-07-24,21:22:13,AC101908,입금,4201,원,무신사,부산,전화,59154.0,27,N
2025-09-30,12:09:14,AC100330,수수료,20380,원,넷플릭스,제주,ATM,579440.0,23,N
2025-07-20,09:48:38,AC101770,입금,27114,원,현대백화점,경기 ,영업점,222437.0,32,N
2025-07-03,19:38:45,AC101229,출금,14300,원,무신사,광주,ATM,97282.0,29,N
2025-05-14,02:15:34,AC101947,공과금,38400,원,교보문고,서울,영업점,37923.0,31,N
2025-05-24,13:16:17,AC101841,대출상환,61475,원,이마트,제주,영업점,27852.0,34,N
2025-12-31,02:37:06,AC100837,출금,89805,원,쿠팡,인천,ATM,250311.0,24,N
2025-07-19,19:50:29,AC100359,출금,12989,원,스타벅스,경북,인터넷뱅킹,177597.0,34,N
2025-10-30,12:48:33,AC101001,수수료,31977,원,GS25편의점,인천,영업점,911308.0,32,N
2025-07-12,02:12:51,AC101417,대출상환,8607,원,이마트,경기,모바일,232215.0,24,N
2025-12-03,12:37:26,AC101995,대출상환,11250,원,,세종,ATM,90467.0,35,N
2025-07-11,17:04:51,AC100199,카드결제,5513,원,파리바게뜨,경남,모바일,154687.0,22,N
2025-06-05,13:03:06,AC101216,수수료,26495,원,쿠팡,제주,영업점,691327.0,47,N
2025-08-13,11:03:35,AC100933,입금,294543,원,스타벅스,전북,모바일,536946.0,23,N
2025-11-21,21:19:48,AC101856,카드결제,17800,원,CU편의점,전남,모바일,267391.0,45,N
2025-09-25,17:13:51,AC102160,카드결제,567000,원,무신사,전남,ATM,176675.0,27,N
2025-06-03,21:58:32,AC100849,공과금,121409,원,,,영업점,,28,N
2025-02-25,18:45:28,AC101972,이체,31738,원,배달의민족,울산,인터넷뱅킹,331142.0,25,N
2025-08-14,09:34:46,AC101712,카드결제,8359,원,CGV,경남,모바일,50649.0,26,N
2025-09-14,12:49:17,AC100515,출금,132513,원,CGV,충남,모바일,222423.0,28,N
2025-08-19,18:18:17,AC100838,이자,15854,원,롯데마트,대전,ATM,197466.0,49,N
2025-07-31,12:40:04,AC101886,이자,55597,원,,충북,ATM,48467.0,33,N
2025-03-24,18:11:31,AC101511,출금,21263,원,요기요,경북,전화,44130.0,27,N
2025-05-21,23:13:13,AC101212,입금,27494,원,쿠팡,강원,ATM,103854.0,21,N
2025-05-25,20:48:21,AC101101,출금,23881,원,CU편의점,전북,모바일,486548.0,46,N
2025-04-21,10:42:22,AC101349,공과금,24620,원,,충북,ATM,295590.0,34,N
2025-08-28,05:16:04,AC101081,이자,9060,원,배달의민족,전남,ATM,464379.0,32,N
2025-07-09,01:33:29,AC100214,대출상환,16668,원,요기요,경남,전화,455470.0,30,N
2025-05-22,17:52:28,AC100261,이자,35037,원,파리바게뜨,울산,영업점,165057.0,30,N
